"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"cutecore",5098,5467,"2","46"
"vtuber model",20373,13367,"1","1"
"magic the gathering",9980,29686,"24","1"
"mtg",8910,44426,"35","1"
"hello kitty",8558,38321,"33","1"
"mystery box",7343,17279,"19","1"
"sanrio",5804,23109,"30","2"
"dead by daylight",4388,4276,"1","1"
"gyaru",4307,3540,"1","1"
"capybara",4146,35191,"46","3"
"playmat",3911,22512,"38","1"
"procreate brushes",3785,46772,"55","1"
"pastel goth",3751,49647,"56","9"
"studio ghibli",3619,15536,"32","1"
"ghostface",3385,9331,"22","1"
"mtg playmat",3321,7995,"19","1"
"best selling items",3122,20631,"41","1"
"occupational therapy",3108,33454,"52","1"
"ghibli",2952,21919,"44","1"
"weirdcore",2876,31687,"52","4"
"magnetic bookmark",2743,21782,"45","1"
"ceramic travel mug",2586,32129,"55","1"
"plush keychain",2543,15047,"39","1"
"jumping spider",2524,5688,"18","1"
"sourdough starter",2330,9455,"30","1"
"cat tower",2230,2578,"3","3"
"procreate stamps",2168,39863,"63","1"
"cloth napkins",2133,26899,"55","1"
"blind box",2093,6669,"25","1"
"wabi sabi wall art",2038,28918,"58","2"
"textile wall art",2016,43213,"67","2"
"agere",2053,1118,"1","1"
